OBJECTID,MapUnitPK,ReferenceIDcode,MapUnitLabel,MapUnitName,ArcJoinKey,DataSources_ID,Description
91,8479,BingNJ1984,Tw,Welded ash-flow tuff,BingNJ1984Tw,24,
92,8480,BlacGL1987,Qal,Alluvium,BlacGL1987Qal,25,
93,8481,BlacGL1987,Qb1,Basalt and basaltic andesite,BlacGL1987Qb1,25,
94,8482,BlacGL1987,Qb2,Basalt and basaltic andesite,BlacGL1987Qb2,25,
95,8483,BlacGL1987,Qb3,Basalt and basaltic andesite,BlacGL1987Qb3,25,
96,8484,BlacGL1987,Qb4,Basalt and basaltic andesite,BlacGL1987Qb4,25,
97,8485,BlacGL1987,Qb5,Basalt and basaltic andesite,BlacGL1987Qb5,25,
98,8486,BlacGL1987,Qbj,Basaltic andesite of Three-Fingered Jack,BlacGL1987Qbj,25,
99,8487,BlacGL1987,Qbm,Lava of Marion Creek,BlacGL1987Qbm,25,
100,8488,BlacGL1987,Qbmp,Lava of Marion Peak,BlacGL1987Qbmp,25,
101,8489,BlacGL1987,Qbmpi,Intrusive rocks of unit Qbmp,BlacGL1987Qbmpi,25,
102,8490,BlacGL1987,Qbt,Lava of Turpentine Peak,BlacGL1987Qbt,25,
103,8491,BlacGL1987,Qbti,Intrusive rocks of unit Qbt,BlacGL1987Qbti,25,
104,8492,BlacGL1987,Qbv,Basaltic vent complex of unit Qbmp,BlacGL1987Qbv,25,
105,8493,BlacGL1987,Qc,Colluvium,BlacGL1987Qc,25,
106,8494,BlacGL1987,Qcb,Basaltic andesite of Craig Butte,BlacGL1987Qcb,25,
107,8495,BlacGL1987,Qcbv,Basaltic vent complex of unit Qcb,BlacGL1987Qcbv,25,
108,8496,BlacGL1987,Qgf,Glaciofluvial deposits,BlacGL1987Qgf,25,
109,8497,BlacGL1987,Qgm,Glaciofluvial deposits,BlacGL1987Qgm,25,
110,8498,BlacGL1987,Qhb,Olivine basalt and basaltic andesite,BlacGL1987Qhb,25,
111,8499,BlacGL1987,Qhc,Cinder cone deposits,BlacGL1987Qhc,25,
112,8500,BlacGL1987,Qht,Tephra,BlacGL1987Qht,25,
113,8501,BlacGL1987,Qjl,Lower Jorn Lake member,BlacGL1987Qjl,25,
114,8502,BlacGL1987,Qjlv,Basaltic vent complex of unit Qjl,BlacGL1987Qjlv,25,
115,8503,BlacGL1987,Qju,Upper Jorn Lake member,BlacGL1987Qju,25,
116,8504,BlacGL1987,Qls,Landslide deposit,BlacGL1987Qls,25,
117,8505,BlacGL1987,Qmb,Basaltic andesite of Maxwell Butte,BlacGL1987Qmb,25,
118,8506,BlacGL1987,Qmbv,Basaltic vent complex of unit Qmb,BlacGL1987Qmbv,25,
119,8507,BlacGL1987,Qsb,Slide block,BlacGL1987Qsb,25,
120,8508,BlacGL1987,QTa,Andesite and basaltic andesite,BlacGL1987QTa,25,
121,8509,BlacGL1987,QTb,Olivine basalt,BlacGL1987QTb,25,
122,8510,BlacGL1987,QTbb,Lava of Bingham Ridge,BlacGL1987QTbb,25,
123,8511,BlacGL1987,QTbi,Intrusive rocks of unit QTb,BlacGL1987QTbi,25,
124,8512,BlacGL1987,QTp,Basalt of Smith Prairie,BlacGL1987QTp,25,
125,8513,BlacGL1987,QTs,Parkette Creek sedimentary rocks,BlacGL1987QTs,25,
126,8514,BlacGL1987,Ta,Andesite,BlacGL1987Ta,25,
127,8515,BlacGL1987,Tbp,Welded pyroxene-bearing ash-flow tuff,BlacGL1987Tbp,25,
128,8516,BlacGL1987,Td,Dacite,BlacGL1987Td,25,
129,8517,BlacGL1987,Tla,Lower Andesite sequence,BlacGL1987Tla,25,
130,8518,BlacGL1987,Tma,Andesite and dacite lavas,BlacGL1987Tma,25,
131,8519,BlacGL1987,Tmai,Intrusive rocks of unit Tma,BlacGL1987Tmai,25,
132,8520,BlacGL1987,Tmav,Andesitic vent complex of unit Tma,BlacGL1987Tmav,25,
133,8521,BlacGL1987,Tmb,Basalt and basaltic andesite,BlacGL1987Tmb,25,
134,8522,BlacGL1987,Tmbi,Intrusive rocks of unit Tmb,BlacGL1987Tmbi,25,
135,8523,BlacGL1987,Tmbl,Basalt of Lost Creek,BlacGL1987Tmbl,25,
136,8524,BlacGL1987,Tmd,Dacite and rhyodacite,BlacGL1987Tmd,25,
137,8525,BlacGL1987,Tmdi,Intrusive rocks of unit Tmd,BlacGL1987Tmdi,25,
138,8526,BlacGL1987,Tmt,Ash-flow and air-fall tuff,BlacGL1987Tmt,25,
139,8527,BlacGL1987,Tp,Lava of the Three Pyramids,BlacGL1987Tp,25,
140,8528,BlacGL1987,Tpi,Intrusive rocks of unit Tp,BlacGL1987Tpi,25,
141,8529,BlacGL1987,Tpv,Basaltic vent complex of unit Tp,BlacGL1987Tpv,25,
142,8530,BlacGL1987,Tts,Scar Mountain sedimentary rocks,BlacGL1987Tts,25,
143,8531,BlacGL1987,Tub,Basalt and basaltic andesite,BlacGL1987Tub,25,
144,8532,BrooHC1976,JTRi,Upper Triassic-lower Jurassic quartz diorite,BrooHC1976JTRi,28,
145,8533,BrooHC1976,JTRl,Limestone,BrooHC1976JTRl,28,
146,8534,BrooHC1976,JTRs,Sedimentary rocks,BrooHC1976JTRs,28,
147,8535,BrooHC1976,KJi,Upper Jurassic-lower Cretaceous plutons,BrooHC1976KJi,28,
148,8536,BrooHC1976,KJi1,Upper Jurassic-lower Cretaceous plutons,BrooHC1976KJi1,28,
149,8537,BrooHC1976,mr,"Mixed sedimentary, volcanic and intrusive rocks",BrooHC1976mr,28,
150,8538,BrooHC1976,MZPZa,Sedimentary and volcanic rocks,BrooHC1976MZPZa,28,
151,8539,BrooHC1976,MZPZg,Foliated sedimentary and volcanic rocks and marble,BrooHC1976MZPZg,28,
152,8540,BrooHC1976,MZPZl,Foliated sedimentary and volcanic rocks and marble,BrooHC1976MZPZl,28,
153,8541,BrooHC1976,MZPZs,Foliated sedimentary and volcanic rocks and marble,BrooHC1976MZPZs,28,
154,8542,BrooHC1976,Qal,Alluvium,BrooHC1976Qal,28,
155,8543,BrooHC1976,Qgm,Glaciofluvial deposits,BrooHC1976Qgm,28,
156,8544,BrooHC1976,Qls,Landslide debris,BrooHC1976Qls,28,
157,8545,BrooHC1976,Qtg,Terrace and fan deposits,BrooHC1976Qtg,28,
158,8546,BrooHC1976,Tab,Andesite and basalt,BrooHC1976Tab,28,
159,8547,BrooHC1976,Tabc,Mafic shield volcano,BrooHC1976Tabc,28,
160,8548,BrooHC1976,Tat,Ash flow tuffs and tuffaceous sedimentary rocks,BrooHC1976Tat,28,
161,8549,BrooHC1976,Tb,Basalt and andesite,BrooHC1976Tb,28,
162,8550,BrooHC1976,Tb1,Basalt and andesite,BrooHC1976Tb1,28,
163,8551,BrooHC1976,Tb2,Basalt and andesite,BrooHC1976Tb2,28,
164,8552,BrooHC1976,Tob,Basalt,BrooHC1976Tob,28,
165,8553,BrooHC1976,Tobc,Small mafic volcanic centers,BrooHC1976Tobc,28,
166,8554,BrooHC1976,Tos,Volcaniclastic sedimentary rocks,BrooHC1976Tos,28,
167,8555,BrooHC1976,Tov,Andesite and dacite,BrooHC1976Tov,28,
168,8556,BrooHC1976,Tpb,Basalt,BrooHC1976Tpb,28,
169,8557,BrooHC1976,Tr,Rhyolite and andesite,BrooHC1976Tr,28,
170,8558,BrooHC1976,Tr1,Rhyolite and andesite,BrooHC1976Tr1,28,
171,8559,BrooHC1976,Tr2,Rhyolite and andesite,BrooHC1976Tr2,28,
172,8560,BrooHC1976,Tr3,Rhyolite and andesite,BrooHC1976Tr3,28,
173,8561,BrooHC1976,TRgb,Pre-upper Triassic intrusive complex,BrooHC1976TRgb,28,
174,8562,BrooHC1976,TRgb1,Pre-upper Triassic intrusive complex,BrooHC1976TRgb1,28,
175,8563,BrooHC1976,TRgb2,Pre-upper Triassic intrusive complex,BrooHC1976TRgb2,28,
176,8564,BrooHC1976,TRh,Sedimentary rocks,BrooHC1976TRh,28,
177,8565,BrooHC1976,TRmb,Limestone,BrooHC1976TRmb,28,
178,8566,BrooHC1976,TRPv,Volcanic and sedimentary rocks,BrooHC1976TRPv,28,
179,8567,BrooHC1976,TRqd,Pre-upper Triassic intrusive complex,BrooHC1976TRqd,28,
180,8568,BrooHC1976,TRv,Volcanic and sedimentary rocks,BrooHC1976TRv,28,
181,8569,BrooHC1976,Tss,Tuffaceous sedimentary rocks,BrooHC1976Tss,28,
182,8570,BrooHC1976,Tst,Tuffaceous sedimentary rocks,BrooHC1976Tst,28,
183,8571,BrooHC1976,Twt,Silicic welded and non-welded tuff,BrooHC1976Twt,28,
184,8572,BrooHC1976,Twt1,Silicic welded and non-welded tuff,BrooHC1976Twt1,28,
185,8573,BrooHC1977a,Per,Marine sedimentary and volcanic rocks,BrooHC1977aPer,29,
186,8574,BrooHC1977a,Qal,Alluvium,BrooHC1977aQal,29,
187,8575,BrooHC1977a,Qls,Landslide debris,BrooHC1977aQls,29,
188,8576,BrooHC1977a,Tb,Basalt,BrooHC1977aTb,29,
189,8577,BrooHC1977a,Tr,Rhyolite and andesite,BrooHC1977aTr,29,
190,8578,BrooHC1977a,TRpi,Intrusive rocks,BrooHC1977aTRpi,29,
191,8579,BrooHC1977a,Tst,Lacustrine and fluviatile deposits,BrooHC1977aTst,29,
192,8580,BrooHC1977a,Twt,Silicic welded tuff,BrooHC1977aTwt,29,
193,8581,BrooHC1977b,JKi,Quartz diorite,BrooHC1977bJKi,30,
194,8582,BrooHC1977b,Per,Elkhorn Ridge Argillite,BrooHC1977bPer,30,
195,8583,BrooHC1977b,PTRg,Greenschist,BrooHC1977bPTRg,30,
196,8584,BrooHC1977b,Qal,Alluvium,BrooHC1977bQal,30,
197,8585,BrooHC1977b,Tb,Basalt,BrooHC1977bTb,30,
198,8586,BrooHC1977b,TRi,Mafic intrusive rocks,BrooHC1977bTRi,30,
199,8587,BrooHC1977b,Tst,Tuffaceous sedimentary rocks,BrooHC1977bTst,30,
200,8588,BrooHC1977cplateA,Qal,Alluvium,BrooHC1977cplateAQal,31,
201,8589,BrooHC1977cplateA,Qls,Landslide debris,BrooHC1977cplateAQls,31,
202,8590,BrooHC1977cplateA,Tb,Basalt,BrooHC1977cplateATb,31,
203,8591,BrooHC1977cplateA,Tb1,Basalt,BrooHC1977cplateATb1,31,
204,8592,BrooHC1977cplateA,Tpa,Platy andesite of Sawtooth Crater,BrooHC1977cplateATpa,31,
205,8593,BrooHC1977cplateA,TRag,Albite granite,BrooHC1977cplateATRag,31,
206,8594,BrooHC1977cplateA,TRPl,Limestone,BrooHC1977cplateATRPl,31,
207,8595,BrooHC1977cplateA,TRPs,Silicic volcanic center,BrooHC1977cplateATRPs,31,
208,8596,BrooHC1977cplateA,TRPu,Undivided volcanic and sedimentary rocks,BrooHC1977cplateATRPu,31,
209,8597,BrooHC1977cplateA,Tst,Lacustrine and fluviatile deposits,BrooHC1977cplateATst,31,
210,8598,BrooHC1977cplateB,Qal,Alluvium,BrooHC1977cplateBQal,32,
211,8599,BrooHC1977cplateB,Qls,Landslide debris,BrooHC1977cplateBQls,32,
212,8600,BrooHC1977cplateB,Tba,Basalt and andesite,BrooHC1977cplateBTba,32,
213,8601,BrooHC1977cplateB,TRPu,Volcanic and sedimentary rocks,BrooHC1977cplateBTRPu,32,
214,8602,BrooHC1977cplateB,Tst,Lacustrine and fluviatile deposits,BrooHC1977cplateBTst,32,
215,8603,BrooHC1979a,JTRi,Intrusive rocks,BrooHC1979aJTRi,33,
216,8604,BrooHC1979a,Jw,Weatherby Formation,BrooHC1979aJw,33,
217,8605,BrooHC1979a,Jwj,Jet Creek member,BrooHC1979aJwj,33,
218,8606,BrooHC1979a,Jwjl,Jet Creek member limestone,BrooHC1979aJwjl,33,
219,8607,BrooHC1979a,Kji,Intrusive rocks,BrooHC1979aKji,33,
220,8608,BrooHC1979a,MZPZsv,Foliated sedimentary and volcanic rocks,BrooHC1979aMZPZsv,33,
221,8609,BrooHC1979a,Qal,Alluvium,BrooHC1979aQal,33,
222,8610,BrooHC1979a,Qls,Landslide debris,BrooHC1979aQls,33,
223,8611,BrooHC1979a,Qtg,Terrace and fan deposits,BrooHC1979aQtg,33,
224,8612,BrooHC1979a,sp,Mafic and ultramafic rocks,BrooHC1979asp,33,
225,8613,BrooHC1979a,Tb,Basalt,BrooHC1979aTb,33,
226,8614,BrooHC1979a,Tob,Basalt,BrooHC1979aTob,33,
227,8615,BrooHC1979a,Tobc,Small mafic volcanic centers,BrooHC1979aTobc,33,
228,8616,BrooHC1979a,Tpb,Basalt,BrooHC1979aTpb,33,
229,8617,BrooHC1979a,Tpb1,Basalt,BrooHC1979aTpb1,33,
230,8618,BrooHC1979a,TRgb,Mafic and ultramafic rocks,BrooHC1979aTRgb,33,
231,8619,BrooHC1979a,TRh,Huntington Formation,BrooHC1979aTRh,33,
232,8620,BrooHC1979a,Tst,Tuffaceous lake and stream deposits,BrooHC1979aTst,33,
233,8621,BrooHC1979b,JTRs,Sedimentary rocks,BrooHC1979bJTRs,34,
234,8622,BrooHC1979b,KJi,Quartz diorite and granodiorite,BrooHC1979bKJi,34,
235,8623,BrooHC1979b,ls,Limestone,BrooHC1979bls,34,
236,8624,BrooHC1979b,MZPZn,Nelson marble,BrooHC1979bMZPZn,34,
237,8625,BrooHC1979b,MZPZsv,"Sedimentary, volcanic, and intrusive rocks",BrooHC1979bMZPZsv,34,
238,8626,BrooHC1979b,Qal,Alluvium,BrooHC1979bQal,34,
239,8627,BrooHC1979b,Qls,Landslide debris,BrooHC1979bQls,34,
240,8628,BrooHC1979b,Qtg,Terrace and bench gravels,BrooHC1979bQtg,34,
241,8629,BrooHC1979b,Tb,Basalt,BrooHC1979bTb,34,
242,8630,BrooHC1979b,Tbt,Basaltic tuff,BrooHC1979bTbt,34,
243,8631,BrooHC1979b,TRi,Mafic and ultramafic rocks,BrooHC1979bTRi,34,
244,8632,BrooHC1979b,Tst,Lacustrine and fluviatile deposits,BrooHC1979bTst,34,
245,8633,BrooHC1979b,Twt,Silicic welded tuff,BrooHC1979bTwt,34,
246,8634,BrooHC1979c,Jw,Weatherby Formation,BrooHC1979cJw,35,
247,8635,BrooHC1979c,Ki,Intrusive rocks,BrooHC1979cKi,35,
248,8636,BrooHC1979c,MZPZum,Ultramafic complex,BrooHC1979cMZPZum,35,
249,8637,BrooHC1979c,Qal,Alluvium,BrooHC1979cQal,35,
250,8638,BrooHC1979c,Qls,Landslide debris,BrooHC1979cQls,35,
251,8639,BrooHC1979c,Tab,Andesite and basalt,BrooHC1979cTab,35,
252,8640,BrooHC1979c,Tat,Ash flow tuff,BrooHC1979cTat,35,
253,8641,BrooHC1979c,Tat2,Ash flow tuff,BrooHC1979cTat2,35,
254,8642,BrooHC1979c,Tav,Andesite vitrophyre,BrooHC1979cTav,35,
255,8643,BrooHC1979c,Tf,Fluviatile and lacustrine sedimentary deposits,BrooHC1979cTf,35,
256,8644,BrooHC1979c,Tr,Rhyolite flows and flow breccia,BrooHC1979cTr,35,
257,8645,BrooHC1979c,Trd,Silicic volcanic rocks,BrooHC1979cTrd,35,
258,8646,BrooHC1979c,Ts,Sedimentary deposits,BrooHC1979cTs,35,
259,8647,BrooHC1979d,Jw,Weatherby Formation,BrooHC1979dJw,36,
260,8648,BrooHC1979d,Ki,Intrusive rocks,BrooHC1979dKi,36,
261,8649,BrooHC1979d,MZPZmr,Mixed rock terrane,BrooHC1979dMZPZmr,36,
262,8650,BrooHC1979d,Qal,Alluvium,BrooHC1979dQal,36,
263,8651,BrooHC1979d,Qls,Landslide debris,BrooHC1979dQls,36,
264,8652,BrooHC1979d,Tab,Andesite and basalt,BrooHC1979dTab,36,
265,8653,BrooHC1979d,Tav,Andesite vitrophyre,BrooHC1979dTav,36,
266,8654,BrooHC1979d,Trd,Silicic volcanic rocks,BrooHC1979dTrd,36,
267,8655,BrooHC1979d,Ts,Sedimentary deposits,BrooHC1979dTs,36,
268,8656,BrooHC1982a,gb,Ultramafic and mafic rocks,BrooHC1982agb,37,
269,8657,BrooHC1982a,KJbm,Bald Mountain Batholith,BrooHC1982aKJbm,37,
270,8658,BrooHC1982a,KJi,Intrusive rocks,BrooHC1982aKJi,37,
271,8659,BrooHC1982a,Pi,Metamorphosed igneous rocks,BrooHC1982aPi,37,
272,8660,BrooHC1982a,Pmv,Metavolcanic and related sedimentary rocks,BrooHC1982aPmv,37,
273,8661,BrooHC1982a,px,Ultramafic and mafic rocks,BrooHC1982apx,37,
274,8662,BrooHC1982a,Qal,Alluvium,BrooHC1982aQal,37,
275,8663,BrooHC1982a,Qgm,Glacial deposits,BrooHC1982aQgm,37,
276,8664,BrooHC1982a,Qls,Landslide debris,BrooHC1982aQls,37,
277,8665,BrooHC1982a,Qtg,Terrace gravel,BrooHC1982aQtg,37,
278,8666,BrooHC1982a,sp,Ultramafic and mafic rocks,BrooHC1982asp,37,
279,8667,BrooHC1982a,Tb,Basalt,BrooHC1982aTb,37,
280,8668,BrooHC1982a,Td,Silicic flows,BrooHC1982aTd,37,
281,8669,BrooHC1982a,Tgt,"Gravel, tuff, and tuffaceous sediments",BrooHC1982aTgt,37,
282,8670,BrooHC1982a,Trd,Silicic flows and tuff,BrooHC1982aTrd,37,
283,8671,BrooHC1982a,TRPer,Elkhorn Ridge Argillite,BrooHC1982aTRPer,37,
284,8672,BrooHC1982a,Tvs,Volcaniclastic rocks,BrooHC1982aTvs,37,
285,8673,BrooHC1982b,KJbm,Bald Mountain Batholith,BrooHC1982bKJbm,38,
286,8674,BrooHC1982b,ls,Elkhorn Ridge Argillite,BrooHC1982bls,38,
287,8675,BrooHC1982b,mt,Mixed rock terrane,BrooHC1982bmt,38,
288,8676,BrooHC1982b,Pgb,Metamorphosed igneous complex,BrooHC1982bPgb,38,
289,8677,BrooHC1982b,Pmv,Metavolcanic rocks,BrooHC1982bPmv,38,
290,8678,BrooHC1982b,Qal,Alluvium,BrooHC1982bQal,38,
291,8679,BrooHC1982b,Qgm,Glacial deposits,BrooHC1982bQgm,38,
292,8680,BrooHC1982b,Qls,Landslide debris,BrooHC1982bQls,38,
293,8681,BrooHC1982b,Qtg,Terrace gravel,BrooHC1982bQtg,38,
294,8682,BrooHC1982b,Tb,Basalt,BrooHC1982bTb,38,
295,8683,BrooHC1982b,TRPer,Elkhorn Ridge Argillite,BrooHC1982bTRPer,38,
296,8684,BrooHC1982b,Ttg,Older gravels,BrooHC1982bTtg,38,
297,8685,BrooHC1983,KJi,Intrusive rocks,BrooHC1983KJi,39,
298,8686,BrooHC1983,Pam,Epidote amphibolites,BrooHC1983Pam,39,
299,8687,BrooHC1983,Pgb,Metamorphosed intrusive rocks,BrooHC1983Pgb,39,
300,8688,BrooHC1983,Pmv,Metavolcanic rocks,BrooHC1983Pmv,39,
301,8689,BrooHC1983,Qal,Alluvium,BrooHC1983Qal,39,
302,8690,BrooHC1983,Qgm,Glacial deposits,BrooHC1983Qgm,39,
303,8691,BrooHC1983,Qls,Landslide debris,BrooHC1983Qls,39,
304,8692,BrooHC1983,sp,Serpentine and serpentine-matrix melange,BrooHC1983sp,39,
305,8693,BrooHC1983,Ta,Porphyritic andesite,BrooHC1983Ta,39,
306,8694,BrooHC1983,Tb,Basalt and basaltic andesite,BrooHC1983Tb,39,
307,8695,BrooHC1983,Tg,Gravels,BrooHC1983Tg,39,
308,8696,BrooHC1983,TRPa,Clastic sedimentary rocks,BrooHC1983TRPa,39,
309,8697,BrooHC1983,Ts,Volcanic and sedimentary rocks,BrooHC1983Ts,39,
310,8698,BrooHC1983,Tts,Tuffaceous sedimentary rocks,BrooHC1983Tts,39,
311,8699,BrooHC1983,Tvs,Volcaniclastic rocks,BrooHC1983Tvs,39,
