FID,HotSpringU,Name,Label,OtherIdent,Source,SourceURI,FeatureTyp,OtherLocat,County,State,PLSS_Merid,Township,Range,Section,SectionPar,LatDegree,LongDegree,SRS,Observatio,Temperatur,Temperat_1,TempMeasur,TempMeas_1,Flow,FlowUnits,FlowMeasur,FlowMeas_1,Classifica,RelatedWat,DataEntryS,RelatedRes,TOPO100K,QUAD_NAME,WKT
10,OR_Mt. Hood Fumaroles (Devils Kitchen)_DOGAMI:CK-004b,Mt. Hood Fumaroles (Devils Kitchen),Mt. Hood Fumaroles (Devils Kitchen),CK-004b,"U.S. Geological Survey (USGS), 2006, unpublished records.", ,thermal,Western Cascades,Clackamas,Oregon,Willamette,029S,009E,29,BAD,45.37,-121.69833,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/CK-004b,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/CK-004b.pdf,Mount Hood,Mount Hood South,POINT (1004378.0163097306 1321783.2273194625)
11,OR_Swim Warm Springs_DOGAMI:CK-005,Swim Warm Springs,Swim Warm Springs,CK-005,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Clackamas,Oregon,Willamette,003S,008.5E,24, ,45.29688,-121.738528,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/CK-005,78.8,Farenheit,spot measurement,correctness date is time of publication by default,95,l/min,spot measurement,correctness date is time of publication by default,5,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/CK-005.pdf,Mount Hood,Mount Hood South,POINT (993646.06414673128 1295279.6275151516)
12,OR_Austin Hot Springs_DOGAMI:CK-010,Austin Hot Springs,Austin Hot Springs,CK-010,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Western Cascades,Clackamas,Oregon,Willamette,006S,007E,30,BCB,45.018776,-122.00225,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/CK-010,186.8,Farenheit,spot measurement,correctness date is time of publication by default,1000,l/min,spot measurement,correctness date is time of publication by default,4, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/CK-010.pdf,Oregon City,Fish Creek Mountain,POINT (923937.96648031357 1195039.4837299008)
13,OR_Bagby Hot Springs_DOGAMI:CK-011,Bagby Hot Springs,Bagby Hot Springs,CK-011,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Western Cascades,Clackamas,Oregon,Willamette,007S,005E,26,BCB,44.935185,-122.173522,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/CK-011,136,Farenheit,spot measurement,correctness date is time of publication by default,100,l/min,spot measurement,correctness date is time of publication by default,5,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/CK-011.pdf,North Santiam River,Bagby Hot Spring,POINT (879040.90875233326 1165429.3989860408)
14,OR_Austin Hot Springs_DOGAMI:CK-012,Austin Hot Springs,Austin Hot Springs,CK-012,National Hydrology Data Set: U.S. Geological Survey.,Http://nhd.usgs.gov/index.html,thermal,Western Cascades,Clackamas,Oregon,Willamette,006S,007E,18, ,45.021249,-122.009815,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/CK-012,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/CK-012.pdf,Oregon City,Fish Creek Mountain,POINT (921998.85897825938 1195976.7478908531)
15,OR_Bagby Hot Springs_DOGAMI:CK-013,Bagby Hot Springs,Bagby Hot Springs,CK-013,National Hydrology Data Set: U.S. Geological Survey.,Http://nhd.usgs.gov/index.html,thermal,Western Cascades,Clackamas,Oregon,Willamette,007S,005E,26, ,44.935654,-122.173816,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/CK-013,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/CK-013.pdf,North Santiam River,Bagby Hot Spring,POINT (878968.28375373059 1165601.8847488405)
16,OR_Gilchrist Valley Hot Spring_DOGAMI:CR-035,Gilchrist Valley Hot Spring,Gilchrist Valley Hot Spring,CR-035,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Crook,Oregon,Willamette,020S,022E,25, ,43.799967,-120.032938,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/CR-035,87.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/CR-035.pdf,Brothers,G. I. Ranch,POINT (1435630.1202087202 747593.80971166806)
17,OR_Paulina Hot Springs 2_DOGAMI:DE-004a,Paulina Hot Springs 2,Paulina Hot Springs 2,DE-004a,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Newberry Volcano,Deschutes,Oregon,Willamette,021S,012E,26,AAA,43.729913,-121.247106,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/DE-004a,69.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/DE-004a.pdf,La Pine,East Lake,POINT (1114895.1061210551 722610.04634645185)
18,OR_Paulina Hot Springs 1_DOGAMI:DE-004b,Paulina Hot Springs 1,Paulina Hot Springs 1,DE-004b,directly scribed from topographic  map where the geothermal feature is found., ,thermal,Newberry Volcano,Deschutes,Oregon,Willamette,021S,012E,26,AAA,43.730068,-121.247427,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/DE-004b,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/DE-004b.pdf,La Pine,East Lake,POINT (1114810.7891218178 722667.30631147372)
19,OR_East Lake Hot Springs_DOGAMI:DE-005,East Lake Hot Springs,East Lake Hot Springs,DE-005,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Newberry Volcano,Deschutes,Oregon,Willamette,021S,013E,29,DCC,43.719822,-121.200277,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/DE-005,143.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/DE-005.pdf,La Pine,East Lake,POINT (1127239.3544279123 718823.40092458541)
20,OR_Lost Hot Springs_DOGAMI:DE-006,Lost Hot Springs,Lost Hot Springs,DE-006,directly scribed from topographic  map where the geothermal feature is found., ,thermal, ,Deschutes,Oregon,Willamette,017S,008E,34,CDD,44.052939,-121.760803,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/DE-006,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/DE-006.pdf,Baker,South Sister,POINT (980952.01953018806 841984.8881193205)
21,OR_Umpqua Hot Springs_DOGAMI:DO-002,Umpqua Hot Springs,Umpqua Hot Springs,DO-002,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Western Cascades,Douglas,Oregon,Willamette,026S,004E,20,ACA,43.296482,-122.363762,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/DO-002,116.6,Farenheit,spot measurement,correctness date is time of publication by default,20,l/min,spot measurement,correctness date is time of publication by default,6,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/DO-002.pdf,Diamond Lake,Potter Mountain,POINT (816236.24308313022 569376.66372108832)
22,OR_Ritter Hot Springs_DOGAMI:GR-001,Ritter Hot Springs,Ritter Hot Springs,GR-001,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Grant,Oregon,Willamette,008S,030E,8,BBC,44.893024,-119.142036,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-001,109.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-001.pdf,Monument,Ritter,POINT (1664198.3093704018 1148553.8965431829)
23,OR_Hot Sulphur Springs_DOGAMI:GR-002,Hot Sulphur Springs,Hot Sulphur Springs,GR-002,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Grant,Oregon,Willamette,010S,032E,35,DB,44.65584,-118.831043,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-002,120.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-002.pdf,Baker,Susanville,POINT (1746526.2342551511 1063598.8465813599)
24,OR_Mt. Vernon Hot Springs_DOGAMI:GR-003a,Mt. Vernon Hot Springs,Mt. Vernon Hot Springs,GR-003a,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Grant,Oregon,Willamette,013S,030E,9,DAC,44.450836,-119.106683,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-003a,120.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-003a.pdf,Dayville,Mount Vernon,POINT (1676092.8254315436 987549.24866595131)
25,OR_Mt. Vernon Hot Springs_DOGAMI:GR-003b,Mt. Vernon Hot Springs,Mt. Vernon Hot Springs,GR-003b,directly scribed from topographic  map where the geothermal feature is found., ,thermal, ,Grant,Oregon,Willamette,013S,030E,9, ,44.451081,-119.106597,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-003b,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-003b.pdf,Dayville,Mount Vernon,POINT (1676113.7598458251 987638.91590882291)
26,OR_Limekiln Hot Spring_DOGAMI:GR-004,Limekiln Hot Spring,Limekiln Hot Spring,GR-004,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Grant,Oregon,Willamette,014S,033E,10,BDA,44.372626,-118.738656,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-004,69.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-004.pdf,John Day,Strawberry Mountain,POINT (1772771.9131045449 960895.43847975519)
27,OR_Blue Mountain Hot Springs_DOGAMI:GR-005a,Blue Mountain Hot Springs,Blue Mountain Hot Springs,GR-005a,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,John Day,Grant,Oregon,Willamette,014S,034E,13,DBB,44.354618,-118.573145,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-005a,136,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-005a.pdf,John Day,Roberts Creek,POINT (1816184.5061108978 955305.4880400633)
28,OR_Blue Mountain Hot Springs_DOGAMI:GR-005b,Blue Mountain Hot Springs,Blue Mountain Hot Springs,GR-005b,Geographic Names Information System (GNIS): U.S. Geologica Survey.,Http://nhd.usgs.gov/gnis.html,thermal,John Day,Grant,Oregon,Willamette,014S,034E,13, ,44.35377,-118.573833,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-005b,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-005b.pdf,John Day,Roberts Creek,POINT (1816011.8873616108 954992.27425644815)
29,OR_Joaquin Miller Hot Springs 1_DOGAMI:GR-006a,Joaquin Miller Hot Springs 1,Joaquin Miller Hot Springs 1,GR-006a,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,John Day,Grant,Oregon,Willamette,015S,031E,11,DCA,44.279799,-118.961856,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-006a,104,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-006a.pdf,John Day,Canyon Mountain,POINT (1715066.4021013791 925895.74607236742)
30,OR_Joaquin Miller Hot Springs 2_DOGAMI:GR-006b,Joaquin Miller Hot Springs 2,Joaquin Miller Hot Springs 2,GR-006b,directly scribed from topographic  map where the geothermal feature is found., ,thermal,John Day,Grant,Oregon,Willamette,015S,031E,11,DCA,44.279761,-118.961137,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-006b,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-006b.pdf,John Day,Canyon Mountain,POINT (1715254.8928643779 925885.42613030341)
31,OR_Joaquin Miller Hot Springs 3_DOGAMI:GR-006c,Joaquin Miller Hot Springs 3,Joaquin Miller Hot Springs 3,GR-006c,directly scribed from topographic  map where the geothermal feature is found., ,thermal,John Day,Grant,Oregon,Willamette,015S,031E,11,DCA,44.279644,-118.956875,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/GR-006c,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/GR-006c.pdf,John Day,Canyon Mountain,POINT (1716371.4681273967 925863.73464488226)
